DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2003,8.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2004,9.8,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2005,9.3,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2006,9.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2007,8.7,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2008,6.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2009,8.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2010,8.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2011,7.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2012,8.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2013,9.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2014,9.9,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2015,10.4,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2016,11.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2017,10.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2018,9.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2019,9.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2020,10.6,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2021,11.8,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2022,9.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT13:Wien,2023,9.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,1999,4.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2000,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2001,4.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2002,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2003,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2004,6.0,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2005,4.9,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2006,4.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2007,3.9,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2008,3.4,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2009,4.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2010,4.2,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2011,4.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2012,4.8,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2013,5.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2014,5.8,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2015,6.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2016,5.2,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2017,4.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2018,4.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2019,3.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2020,4.6,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2021,5.5,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2022,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT21:Kärnten,2023,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,1999,4.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2000,4.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2001,4.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2002,5.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2003,3.9,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2004,4.5,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2005,4.2,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2006,4.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2007,3.7,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2008,3.4,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2009,4.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2010,4.2,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2011,3.6,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2012,3.9,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2013,4.5,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2014,5.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2015,4.6,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2016,4.9,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2017,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2018,4.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2019,3.1,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2020,4.3,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2021,4.1,b,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2022,3.4,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT22:Steiermark,2023,4.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT31:Oberösterreich,1999,4.7,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT31:Oberösterreich,2000,3.8,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT31:Oberösterreich,2001,3.0,,
ESTAT:LFST_R_LFU3RT(1.0),25/03/25 23:00:00,A:Annual,TOTAL:All ISCED 2011 levels,T:Total,Y20-64:From 20 to 64 years,PC:Percentage,AT31:Oberösterreich,2002,3.7,,
