DATAFLOW,LAST UPDATE,freq,sector,currency,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2012,18517,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2013,18605,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2014,18954,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2015,19099,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2016,19893,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2017,20992,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2018,22987,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2019,24127,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2020,23369,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2021,25681,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Wien,2022,27369,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2000,3076,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2001,3240,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2002,3010,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2003,2953,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2004,3124,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2005,3489,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2006,3652,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2007,4051,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2008,4076,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2009,3309,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2010,3426,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2011,4028,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2012,4066,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2013,4081,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2014,4071,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2015,4258,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2016,4265,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2017,4523,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2018,4912,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2019,5142,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2020,5536,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2021,6131,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Kärnten,2022,6914,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2000,6858,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2001,7102,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2002,6738,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2003,6738,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2004,7058,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2005,6780,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2006,7084,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2007,7726,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2008,8601,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2009,8073,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2010,8406,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2011,8964,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2012,9166,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2013,9639,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2014,9465,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2015,9875,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2016,10897,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2017,11537,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2018,12004,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2019,12863,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2020,12176,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2021,14076,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Steiermark,2022,14962,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2000,8402,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2001,8515,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2002,8554,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2003,9119,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2004,8835,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2005,8922,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2006,9520,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2007,10335,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2008,10959,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2009,10444,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2010,10073,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2011,10616,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2012,11829,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2013,12080,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2014,12364,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2015,12796,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2016,13980,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2017,14832,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2018,15796,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2019,17056,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2020,16701,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2021,18489,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Oberösterreich,2022,19450,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2000,3692,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2001,3851,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2002,3703,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2003,3874,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2004,4088,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2005,4405,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2006,4539,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2007,4693,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2008,4957,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2009,4631,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2010,4588,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2011,4920,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2012,5178,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2013,5224,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2014,5498,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2015,5796,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2016,6424,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2017,6475,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2018,7126,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2019,7493,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2020,6884,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2021,7325,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Salzburg,2022,7997,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2000,5002,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2001,4980,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2002,5056,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2003,5447,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2004,5015,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2005,5791,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2006,5958,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2007,6337,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2008,6689,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2009,6216,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2010,6212,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2011,6785,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2012,7071,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2013,7227,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2014,7417,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2015,7687,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2016,8174,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2017,8841,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2018,8919,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2019,9150,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2020,8768,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2021,9236,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Tirol,2022,10526,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Vorarlberg,2000,2152,,
ESTAT:NAMA_10R_2GFCF(1.0),18/03/25 23:00:00,Annual,Total economy,Million euro,Total - all NACE activities,Vorarlberg,2001,2336,,
