"VARIABLE","VERSIONS","LEVEL","NUTSCODE","YEAR","SEX","AGE","ISCED11","UNIT","VALUE"
"RPDTN",2021,2,"DE14",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",22.8
"RPDTN",2021,2,"DE21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.2
"RPDTN",2021,2,"DE22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24.8
"RPDTN",2021,2,"DE23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",25.1
"RPDTN",2021,2,"DE24",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",22
"RPDTN",2021,2,"DE25",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.5
"RPDTN",2021,2,"DE26",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.9
"RPDTN",2021,2,"DE27",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.9
"RPDTN",2021,2,"DE30",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",16.7
"RPDTN",2021,2,"DE40",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",7.7
"RPDTN",2021,2,"DE50",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",25.6
"RPDTN",2021,2,"DE60",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.9
"RPDTN",2021,2,"DE71",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.9
"RPDTN",2021,2,"DE72",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.7
"RPDTN",2021,2,"DE73",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.2
"RPDTN",2021,2,"DE80",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",12
"RPDTN",2021,2,"DE91",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.3
"RPDTN",2021,2,"DE92",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.3
"RPDTN",2021,2,"DE93",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.7
"RPDTN",2021,2,"DE94",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.3
"RPDTN",2021,2,"DEA1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.3
"RPDTN",2021,2,"DEA2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21.5
"RPDTN",2021,2,"DEA3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.5
"RPDTN",2021,2,"DEA4",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.5
"RPDTN",2021,2,"DEA5",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21
"RPDTN",2021,2,"DEC0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21.4
"RPDTN",2021,2,"DED2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",6.9
"RPDTN",2021,2,"DEE0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",9.2
"RPDTN",2021,2,"DEF0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.9
"RPDTN",2021,2,"DEG0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",9.3
"RPDTN",2021,2,"EE00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",14.2
"RPDTN",2021,2,"EL30",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.6
"RPDTN",2021,2,"EL41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.3
"RPDTN",2021,2,"EL42",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",61.9
"RPDTN",2021,2,"EL43",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",57.2
"RPDTN",2021,2,"EL51",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",62.1
"RPDTN",2021,2,"EL52",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",49.5
"RPDTN",2021,2,"EL53",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",59.8
"RPDTN",2021,2,"EL54",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",60.3
"RPDTN",2021,2,"EL61",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",58.6
"RPDTN",2021,2,"EL62",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",58.8
"RPDTN",2021,2,"EL63",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",59.3
"RPDTN",2021,2,"EL64",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",60.1
"RPDTN",2021,2,"EL65",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.8
"RPDTN",2021,2,"ES11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",68.7
"RPDTN",2021,2,"ES12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",62.7
"RPDTN",2021,2,"ES13",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",57.8
"RPDTN",2021,2,"ES21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",51.4
"RPDTN",2021,2,"ES22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.1
"RPDTN",2021,2,"ES23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",62.1
"RPDTN",2021,2,"ES24",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",59.9
"RPDTN",2021,2,"ES30",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",49.6
"RPDTN",2021,2,"ES41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",60.8
"RPDTN",2021,2,"ES42",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",72.3
"RPDTN",2021,2,"ES43",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",71.8
"RPDTN",2021,2,"ES51",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",57.9
"RPDTN",2021,2,"ES52",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",65.5
"RPDTN",2021,2,"ES53",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",63.7
"RPDTN",2021,2,"ES61",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",67.9
"RPDTN",2021,2,"ES62",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",64.4
"RPDTN",2021,2,"ES63",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",62.9
"RPDTN",2021,2,"ES64",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",54.4
"RPDTN",2021,2,"ES70",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",63.5
"RPDTN",2021,2,"FI19",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",27.1
"RPDTN",2021,2,"FI20",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",35.9
"RPDTN",2021,2,"FR10",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",32.2
"RPDTN",2021,2,"FRB0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",41
"RPDTN",2021,2,"FRC1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",39.7
"RPDTN",2021,2,"FRC2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",42.9
"RPDTN",2021,2,"FRD1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",41.7
"RPDTN",2021,2,"FRD2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",43.8
"RPDTN",2021,2,"FRE1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",47.5
"RPDTN",2021,2,"FRE2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",47.2
"RPDTN",2021,2,"FRF1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.4
"RPDTN",2021,2,"FRF2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",45.7
"RPDTN",2021,2,"FRF3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",38
"RPDTN",2021,2,"FRG0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",37
"RPDTN",2021,2,"FRH0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34
"RPDTN",2021,2,"FRI1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.8
"RPDTN",2021,2,"FRI2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",36.2
"RPDTN",2021,2,"FRI3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",39.6
"RPDTN",2021,2,"FRJ1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",42.4
"RPDTN",2021,2,"FRJ2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",32.5
"RPDTN",2021,2,"FRK1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",38.9
"RPDTN",2021,2,"FRK2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.4
"RPDTN",2021,2,"FRL0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",40.3
"RPDTN",2021,2,"FRM0",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",65.2
"RPDTN",2021,2,"HU21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",30.4
"RPDTN",2021,2,"HU22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",29.5
"RPDTN",2021,2,"HU23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.5
"RPDTN",2021,2,"HU31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.8
"RPDTN",2021,2,"HU32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",37.1
"RPDTN",2021,2,"HU33",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.6
"RPDTN",2021,2,"IS00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",44.2
"RPDTN",2021,2,"ITC1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.4
"RPDTN",2021,2,"ITC2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",56.9
"RPDTN",2021,2,"ITC3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",52.6
"RPDTN",2021,2,"ITC4",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",52.4
"RPDTN",2021,2,"ITF1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",54.3
"RPDTN",2021,2,"ITF2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",54.7
"RPDTN",2021,2,"ITF3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",59.2
"RPDTN",2021,2,"ITF4",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",61.4
"RPDTN",2021,2,"ITF5",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",58.6
"RPDTN",2021,2,"ITF6",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.6
"RPDTN",2021,2,"ITG1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",59.7
"RPDTN",2021,2,"ITG2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",60.7
"RPDTN",2021,2,"ITH1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",46.7
"RPDTN",2021,2,"ITH2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",47.7
"RPDTN",2021,2,"ITH3",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",55.5
"RPDTN",2021,2,"ITH4",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",51.8
"RPDTN",2021,2,"ITI1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",56.1
"RPDTN",2021,2,"ITI2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",48.5
"RPDTN",2021,2,"ITI4",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",47.6
"RPDTN",2021,2,"LU00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",39.1
"RPDTN",2021,2,"LV00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",16.8
"RPDTN",2021,2,"MT00",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",81.9
"RPDTN",2021,2,"NL11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",32.9
"RPDTN",2021,2,"NL12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",32.6
"RPDTN",2021,2,"NL13",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",38.1
"RPDTN",2021,2,"NL21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",35.9
"RPDTN",2021,2,"NL22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",35.1
"RPDTN",2021,2,"NL23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.8
"RPDTN",2021,2,"NL31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",27.1
"RPDTN",2021,2,"NL32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",29.6
"RPDTN",2021,2,"NL33",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.6
"RPDTN",2021,2,"NL34",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",38.5
"RPDTN",2021,2,"NL41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",36.4
"RPDTN",2021,2,"NL42",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",40
"RPDTN",2021,2,"NO02",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.3
"RPDTN",2021,2,"NO06",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",14.2
"RPDTN",2021,2,"NO07",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.1
"RPDTN",2021,2,"PL21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.1
"RPDTN",2021,2,"PL22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.8
"RPDTN",2021,2,"PL41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.9
"RPDTN",2021,2,"PL42",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21.8
"RPDTN",2021,2,"PL43",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.6
"RPDTN",2021,2,"PL51",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.6
"RPDTN",2021,2,"PL52",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.7
"RPDTN",2021,2,"PL61",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",21.8
"RPDTN",2021,2,"PL62",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",28.4
"RPDTN",2021,2,"PL63",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.6
"RPDTN",2021,2,"PL71",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",20.6
"RPDTN",2021,2,"PL72",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24.3
"RPDTN",2021,2,"PL81",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.3
"RPDTN",2021,2,"PL82",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",18.8
"RPDTN",2021,2,"PL84",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",25.8
"RPDTN",2021,2,"PT11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",84.5
"RPDTN",2021,2,"PT15",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",84.4
"RPDTN",2021,2,"PT16",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",84.5
"RPDTN",2021,2,"PT17",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",70.2
"RPDTN",2021,2,"PT18",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",84.3
"RPDTN",2021,2,"PT20",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",86.9
"RPDTN",2021,2,"PT30",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",87.7
"RPDTN",2021,2,"RO11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33
"RPDTN",2021,2,"RO12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",27.3
"RPDTN",2021,2,"RO21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34.5
"RPDTN",2021,2,"RO22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.8
"RPDTN",2021,2,"RO31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",33.6
"RPDTN",2021,2,"RO32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",16.7
"RPDTN",2021,2,"RO41",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",32.4
"RPDTN",2021,2,"RO42",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",30.2
"RPDTN",2021,2,"SE11",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.4
"RPDTN",2021,2,"SE12",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24
"RPDTN",2021,2,"SE21",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",29.9
"RPDTN",2021,2,"SE22",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24.1
"RPDTN",2021,2,"SE23",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",24
"RPDTN",2021,2,"SE31",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.5
"RPDTN",2021,2,"SE32",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",23.3
"RPDTN",2021,2,"SE33",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",19.1
"RPDTN",2021,2,"SK01",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",9.3
"RPDTN",2021,2,"SK02",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",17.6
"RPDTN",2021,2,"SK03",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",16.7
"RPDTN",2021,2,"SK04",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",16.9
"RPDTN",2021,2,"UKC1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",42.2
"RPDTN",2021,2,"UKC2",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",40.4
"RPDTN",2021,2,"UKD1",2000,"Total","From 25 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percent",34
